n,p,k,ph,humidity,temperature,pump,total_nutrients,temp_ph_interaction,yield_ton_ha,irrigation_volume_l_m2,fertilizer_kg_ha,humidity_range,ph_range,temperature_range,source
1,1,0,5.39,68.4,26.0,0,2,140.45,2.004,0.0,57.73,adequada,acido,ideal,synthetic_agronomic_soy
0,0,1,5.06,67.4,15.2,0,1,77.03,0.151,0.878,102.82,adequada,acido,baixa,synthetic_agronomic_soy
1,1,0,5.5,68.0,33.6,0,2,184.79,1.885,1.536,43.85,adequada,acido,estresse,synthetic_agronomic_soy
1,1,0,7.69,16.6,40.8,1,2,313.92,0.0,10.273,59.4,critica,alcalino,estresse,synthetic_agronomic_soy
0,0,1,7.69,41.1,35.4,1,1,271.82,0.222,5.699,92.12,baixa,alcalino,estresse,synthetic_agronomic_soy
1,1,1,5.95,30.8,30.7,0,3,182.69,0.769,7.078,11.36,critica,acido,ideal,synthetic_agronomic_soy
1,1,1,5.78,77.3,30.3,0,3,175.2,3.27,1.107,8.98,excesso,acido,ideal,synthetic_agronomic_soy
1,0,0,6.33,83.9,41.3,1,1,261.67,0.236,2.552,52.27,excesso,ideal,estresse,synthetic_agronomic_soy
1,0,0,5.68,34.7,14.2,1,1,80.55,0.356,2.582,77.48,critica,acido,baixa,synthetic_agronomic_soy
1,1,1,7.74,68.4,16.5,0,3,127.59,0.441,0.0,26.65,adequada,alcalino,baixa,synthetic_agronomic_soy
1,0,0,5.46,25.3,36.9,1,1,201.74,0.091,7.734,83.36,critica,acido,estresse,synthetic_agronomic_soy
0,1,0,5.91,37.0,16.4,0,1,96.61,0.347,3.879,75.24,critica,acido,baixa,synthetic_agronomic_soy
0,1,1,6.09,26.1,23.5,0,2,143.06,0.577,5.144,28.02,critica,ideal,ideal,synthetic_agronomic_soy
1,1,0,5.18,37.7,20.4,1,2,105.81,0.438,3.404,59.28,critica,acido,ideal,synthetic_agronomic_soy
1,0,1,5.95,69.0,19.3,1,2,114.83,1.897,0.552,36.78,adequada,acido,ideal,synthetic_agronomic_soy
1,1,1,7.37,87.8,12.8,1,3,94.13,0.212,0.0,21.46,excesso,alcalino,baixa,synthetic_agronomic_soy
1,0,0,5.22,31.2,29.0,0,1,151.35,0.345,6.324,88.43,critica,acido,ideal,synthetic_agronomic_soy
1,1,1,6.55,58.4,24.0,0,3,157.49,5.232,0.77,0.0,adequada,ideal,ideal,synthetic_agronomic_soy
1,1,0,6.02,71.1,28.5,0,2,171.85,3.685,0.003,39.85,adequada,ideal,ideal,synthetic_agronomic_soy
1,0,0,5.31,91.2,21.1,0,1,112.26,0.498,0.0,102.51,excesso,acido,ideal,synthetic_agronomic_soy
0,0,1,4.84,63.8,40.2,0,1,194.66,0.017,3.938,102.39,adequada,acido,estresse,synthetic_agronomic_soy
1,1,0,5.62,35.4,29.7,0,2,167.14,0.761,5.563,44.65,critica,acido,ideal,synthetic_agronomic_soy
0,1,1,4.99,65.0,40.8,0,2,203.59,0.0,4.019,61.13,adequada,acido,estresse,synthetic_agronomic_soy
1,0,1,5.93,40.6,22.5,0,2,133.43,1.308,3.517,44.89,baixa,acido,ideal,synthetic_agronomic_soy
0,1,1,7.23,93.1,12.1,0,2,87.26,0.172,0.446,45.21,excesso,alcalino,baixa,synthetic_agronomic_soy
1,1,0,6.96,47.0,35.4,0,2,246.61,0.855,6.062,49.03,baixa,alcalino,estresse,synthetic_agronomic_soy
0,1,0,7.64,69.8,36.8,0,1,281.39,0.816,1.742,85.08,adequada,alcalino,estresse,synthetic_agronomic_soy
0,0,1,6.08,16.9,13.8,0,1,83.68,0.0,6.737,66.53,critica,ideal,baixa,synthetic_agronomic_soy
1,1,1,6.92,47.0,30.8,0,3,212.97,2.593,4.114,14.83,baixa,alcalino,ideal,synthetic_agronomic_soy
1,1,0,6.8,85.0,31.8,0,2,216.32,1.192,1.394,42.11,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,0,5.45,63.8,16.4,0,1,89.25,0.592,0.545,87.93,adequada,acido,baixa,synthetic_agronomic_soy
0,1,1,5.71,50.5,28.6,1,2,163.19,2.66,3.027,47.25,baixa,acido,ideal,synthetic_agronomic_soy
0,1,1,6.39,89.9,19.3,0,2,123.29,1.274,0.292,34.04,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,1,7.19,83.3,12.5,0,3,89.83,0.222,0.0,12.42,excesso,alcalino,baixa,synthetic_agronomic_soy
1,0,1,6.19,40.8,38.0,0,2,235.09,0.482,7.594,30.36,baixa,ideal,estresse,synthetic_agronomic_soy
1,1,1,5.48,58.6,26.8,0,3,146.68,2.962,3.095,18.15,adequada,acido,ideal,synthetic_agronomic_soy
0,1,0,7.78,54.2,35.5,1,1,275.82,0.62,2.95,104.83,baixa,alcalino,estresse,synthetic_agronomic_soy
1,0,0,5.15,65.6,33.7,0,1,173.38,1.045,1.999,95.93,adequada,acido,estresse,synthetic_agronomic_soy
1,1,1,7.67,41.7,41.8,1,3,320.59,0.0,6.328,31.3,baixa,alcalino,estresse,synthetic_agronomic_soy
1,1,0,7.23,34.5,25.1,0,2,181.68,0.596,3.842,48.61,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,1,7.32,88.0,24.8,0,3,181.65,0.718,0.0,24.25,excesso,alcalino,ideal,synthetic_agronomic_soy
0,0,0,7.18,88.9,20.5,0,0,146.95,0.185,0.0,102.92,excesso,alcalino,ideal,synthetic_agronomic_soy
1,0,1,5.42,82.5,30.8,0,2,166.83,1.055,1.226,51.32,excesso,acido,ideal,synthetic_agronomic_soy
0,0,1,6.7,93.3,26.6,0,1,178.05,1.359,0.0,63.85,excesso,ideal,ideal,synthetic_agronomic_soy
1,0,1,7.07,74.6,33.9,0,2,239.42,1.687,1.395,43.05,adequada,alcalino,estresse,synthetic_agronomic_soy
1,1,1,7.04,76.2,22.7,0,3,159.71,2.811,0.0,12.41,excesso,alcalino,ideal,synthetic_agronomic_soy
1,0,0,5.61,76.0,15.9,0,1,89.42,0.628,0.0,82.29,excesso,acido,baixa,synthetic_agronomic_soy
1,1,0,5.34,53.4,37.9,1,2,202.37,0.32,4.425,56.66,baixa,acido,estresse,synthetic_agronomic_soy
1,1,1,5.78,51.5,36.8,0,3,213.1,0.714,5.138,19.51,baixa,acido,estresse,synthetic_agronomic_soy
0,1,1,6.24,34.2,22.5,1,2,140.58,0.78,2.672,21.74,critica,ideal,ideal,synthetic_agronomic_soy
1,1,0,6.52,66.6,32.7,0,2,213.32,3.348,2.281,38.6,adequada,ideal,estresse,synthetic_agronomic_soy
1,1,0,7.31,38.1,26.8,1,2,195.73,0.939,3.818,48.43,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,0,7.11,35.6,34.8,1,1,247.53,0.35,5.783,83.79,critica,alcalino,estresse,synthetic_agronomic_soy
1,0,0,6.83,61.9,23.7,1,1,161.86,2.993,0.355,66.77,adequada,alcalino,ideal,synthetic_agronomic_soy
1,0,0,5.59,47.8,28.1,1,1,156.92,1.646,2.557,82.13,baixa,acido,ideal,synthetic_agronomic_soy
1,0,1,6.24,32.5,13.7,1,2,85.66,0.433,3.112,26.86,critica,ideal,baixa,synthetic_agronomic_soy
1,1,0,5.81,80.3,17.2,0,2,100.14,1.003,0.0,37.36,excesso,acido,baixa,synthetic_agronomic_soy
1,1,1,5.5,83.8,35.5,0,3,195.16,0.58,2.168,22.6,excesso,acido,estresse,synthetic_agronomic_soy
1,0,0,4.83,28.4,23.4,1,1,113.27,0.0,3.732,89.76,critica,acido,ideal,synthetic_agronomic_soy
1,1,0,5.82,15.6,13.1,0,2,75.95,0.0,6.527,37.05,critica,acido,baixa,synthetic_agronomic_soy
1,1,1,5.57,41.9,17.0,0,3,94.82,0.269,3.168,22.13,baixa,acido,baixa,synthetic_agronomic_soy
0,1,1,6.52,78.8,24.3,0,2,158.64,3.608,0.266,28.94,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,1,4.99,82.1,33.5,0,2,167.25,0.923,1.684,60.33,excesso,acido,estresse,synthetic_agronomic_soy
1,1,0,5.61,26.1,22.9,0,2,128.53,0.292,4.537,56.11,critica,acido,ideal,synthetic_agronomic_soy
1,0,1,4.93,76.9,34.4,0,2,169.52,0.392,0.971,75.48,excesso,acido,estresse,synthetic_agronomic_soy
0,0,0,6.72,24.3,37.7,1,0,253.79,0.31,7.89,95.03,critica,ideal,estresse,synthetic_agronomic_soy
1,0,1,6.5,46.2,22.2,1,2,144.62,1.974,2.53,37.09,baixa,ideal,ideal,synthetic_agronomic_soy
0,1,1,5.81,94.9,36.0,0,2,209.31,0.699,2.449,50.86,excesso,acido,estresse,synthetic_agronomic_soy
1,1,1,5.24,30.4,15.8,1,3,82.86,0.331,3.869,25.39,critica,acido,baixa,synthetic_agronomic_soy
1,0,0,7.67,27.3,24.5,0,1,187.69,0.126,5.062,91.65,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,1,6.55,48.8,14.9,1,3,97.82,1.383,2.492,3.81,baixa,ideal,baixa,synthetic_agronomic_soy
0,1,0,6.84,64.6,13.6,0,1,92.82,0.854,0.362,61.85,adequada,alcalino,baixa,synthetic_agronomic_soy
1,0,0,6.39,89.6,13.9,0,1,89.11,0.27,0.0,59.02,excesso,ideal,baixa,synthetic_agronomic_soy
1,1,0,7.22,93.5,15.1,0,2,109.32,0.157,0.0,47.66,excesso,alcalino,baixa,synthetic_agronomic_soy
1,1,1,7.49,20.6,37.1,1,3,277.64,0.0,8.178,24.24,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,1,5.95,26.0,28.3,0,2,168.39,0.388,6.254,39.96,critica,acido,ideal,synthetic_agronomic_soy
1,0,1,6.87,78.3,40.4,0,2,277.7,0.463,3.391,35.98,excesso,alcalino,estresse,synthetic_agronomic_soy
0,1,1,5.49,36.7,28.1,1,2,154.48,0.7,4.354,51.49,critica,acido,ideal,synthetic_agronomic_soy
1,1,0,6.76,85.8,30.9,0,2,208.49,1.858,1.08,30.45,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,1,6.0,68.1,17.5,0,3,105.16,1.721,0.418,6.44,adequada,acido,baixa,synthetic_agronomic_soy
1,0,0,4.82,23.9,28.2,1,1,136.02,0.0,4.893,97.82,critica,acido,ideal,synthetic_agronomic_soy
0,0,1,7.67,81.6,23.6,0,1,180.62,0.296,0.0,89.61,excesso,alcalino,ideal,synthetic_agronomic_soy
1,0,1,7.41,29.1,39.9,0,2,295.79,0.157,10.347,42.85,critica,alcalino,estresse,synthetic_agronomic_soy
1,0,0,5.67,48.9,40.0,0,1,227.0,0.316,7.123,75.68,baixa,acido,estresse,synthetic_agronomic_soy
0,1,1,7.79,59.2,18.0,0,2,139.93,0.441,1.474,66.65,adequada,alcalino,baixa,synthetic_agronomic_soy
1,1,1,5.75,55.1,30.6,1,3,176.01,3.362,2.258,15.16,adequada,acido,ideal,synthetic_agronomic_soy
1,1,0,6.18,69.9,31.1,0,2,192.37,3.506,1.418,39.23,adequada,ideal,ideal,synthetic_agronomic_soy
1,1,1,7.35,67.2,28.9,0,3,212.35,2.551,0.898,16.22,adequada,alcalino,ideal,synthetic_agronomic_soy
0,0,0,5.71,94.4,15.7,0,0,89.88,0.0,0.0,104.94,excesso,acido,baixa,synthetic_agronomic_soy
1,1,1,6.15,95.0,31.6,0,3,194.52,1.369,1.488,10.05,excesso,ideal,ideal,synthetic_agronomic_soy
0,0,1,6.8,56.3,36.0,1,1,244.5,1.607,3.031,67.47,adequada,ideal,estresse,synthetic_agronomic_soy
0,1,1,5.19,22.6,22.4,1,2,116.06,0.416,4.675,60.35,critica,acido,ideal,synthetic_agronomic_soy
1,0,0,6.07,73.2,27.4,0,1,166.46,3.504,0.0,76.56,adequada,ideal,ideal,synthetic_agronomic_soy
1,0,1,5.73,93.1,15.5,0,2,88.73,0.15,0.0,44.19,excesso,acido,baixa,synthetic_agronomic_soy
0,1,1,6.83,40.5,39.9,1,2,272.67,0.147,6.564,36.77,baixa,alcalino,estresse,synthetic_agronomic_soy
0,0,1,5.21,51.9,15.3,0,1,79.61,0.0,2.37,86.8,baixa,acido,baixa,synthetic_agronomic_soy
0,0,0,5.5,49.0,18.3,0,0,100.35,0.246,2.434,113.22,baixa,acido,ideal,synthetic_agronomic_soy
1,0,1,6.93,19.1,21.0,1,2,145.3,0.021,4.695,47.0,critica,alcalino,ideal,synthetic_agronomic_soy
0,0,0,5.27,68.8,36.8,1,0,193.75,0.0,1.809,125.33,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,6.07,43.3,33.0,1,2,200.3,1.325,3.697,43.85,baixa,ideal,estresse,synthetic_agronomic_soy
0,1,1,6.94,78.0,12.2,1,2,84.72,0.323,0.0,43.81,excesso,alcalino,baixa,synthetic_agronomic_soy
1,0,1,7.1,81.6,17.5,0,2,124.24,1.078,0.091,34.9,excesso,alcalino,baixa,synthetic_agronomic_soy
0,0,1,5.08,80.7,34.5,0,1,175.44,0.24,1.913,98.61,excesso,acido,estresse,synthetic_agronomic_soy
0,0,1,7.36,48.3,24.1,0,1,177.39,1.264,2.574,85.2,baixa,alcalino,ideal,synthetic_agronomic_soy
0,1,1,6.97,40.7,12.8,1,2,89.15,0.673,2.414,42.88,baixa,alcalino,baixa,synthetic_agronomic_soy
0,1,0,5.82,74.9,40.9,0,1,238.05,0.0,2.331,79.55,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,7.09,79.1,16.5,0,2,117.27,1.136,0.301,44.6,excesso,alcalino,baixa,synthetic_agronomic_soy
1,0,1,6.98,54.3,27.3,0,2,190.79,3.162,2.739,46.11,baixa,alcalino,ideal,synthetic_agronomic_soy
1,1,1,6.6,86.4,19.4,0,3,128.42,1.861,0.395,0.0,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,1,6.48,26.5,34.1,0,3,220.97,0.592,8.413,0.0,critica,ideal,estresse,synthetic_agronomic_soy
0,1,1,7.0,85.3,35.3,0,2,247.26,0.861,1.903,40.71,excesso,alcalino,estresse,synthetic_agronomic_soy
1,1,1,7.8,22.7,23.9,0,3,186.5,0.073,5.401,29.18,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,1,6.54,27.3,31.8,1,2,207.53,0.09,5.857,34.27,critica,ideal,ideal,synthetic_agronomic_soy
0,0,1,7.23,57.7,39.3,0,1,283.79,0.358,6.084,75.3,adequada,alcalino,estresse,synthetic_agronomic_soy
0,1,1,7.03,20.4,36.4,1,2,256.31,0.079,8.499,51.99,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,1,7.37,19.2,24.4,1,2,180.11,0.169,4.268,48.33,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,1,7.66,15.0,25.2,1,2,193.46,0.228,4.929,60.41,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,1,5.38,49.9,38.6,1,3,207.67,0.853,4.526,22.51,baixa,acido,estresse,synthetic_agronomic_soy
1,0,1,5.3,77.0,13.0,0,2,69.02,0.093,0.05,58.19,excesso,acido,baixa,synthetic_agronomic_soy
1,0,1,6.56,17.8,12.7,1,2,83.2,0.305,4.09,34.39,critica,ideal,baixa,synthetic_agronomic_soy
0,0,1,6.15,67.2,18.2,1,1,111.73,1.861,0.383,74.87,adequada,ideal,ideal,synthetic_agronomic_soy
1,0,0,6.51,80.9,36.8,0,1,239.83,0.619,1.282,56.35,excesso,ideal,estresse,synthetic_agronomic_soy
1,1,1,7.19,28.4,16.6,0,3,119.4,0.112,4.318,19.03,critica,alcalino,baixa,synthetic_agronomic_soy
0,0,1,7.6,26.7,20.6,1,1,156.14,0.123,4.693,91.44,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,0,6.05,83.9,30.9,0,2,186.85,1.948,0.913,41.96,excesso,ideal,ideal,synthetic_agronomic_soy
0,0,1,6.95,80.8,17.5,0,1,121.88,0.639,0.57,74.86,excesso,alcalino,baixa,synthetic_agronomic_soy
1,0,1,5.39,58.1,21.1,0,2,113.7,1.136,1.102,55.35,adequada,acido,ideal,synthetic_agronomic_soy
0,1,0,6.4,80.5,26.0,0,1,166.54,2.732,0.0,48.64,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,1,4.87,22.4,18.8,1,3,91.68,0.0,3.862,31.5,critica,acido,ideal,synthetic_agronomic_soy
0,1,0,6.31,46.6,41.8,0,1,263.64,0.574,8.873,53.78,baixa,ideal,estresse,synthetic_agronomic_soy
0,1,1,6.44,74.0,16.9,0,2,108.79,1.012,0.0,26.7,adequada,ideal,baixa,synthetic_agronomic_soy
1,1,1,7.01,35.6,37.5,0,3,262.72,0.4,9.239,9.21,critica,alcalino,estresse,synthetic_agronomic_soy
1,0,1,6.75,75.2,26.1,0,2,176.15,3.81,0.337,34.47,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,0,5.88,55.3,15.9,0,1,93.26,0.589,1.808,69.69,adequada,acido,baixa,synthetic_agronomic_soy
1,0,1,4.82,75.0,15.6,0,2,74.93,0.094,0.0,67.19,adequada,acido,baixa,synthetic_agronomic_soy
0,1,0,5.15,52.2,27.0,1,1,139.0,0.87,1.649,92.14,baixa,acido,ideal,synthetic_agronomic_soy
1,1,0,7.72,44.4,22.6,0,2,174.5,0.506,3.294,57.66,baixa,alcalino,ideal,synthetic_agronomic_soy
0,1,0,7.57,32.5,19.0,1,1,144.06,0.315,3.9,91.2,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,1,5.78,31.7,40.8,1,3,235.45,0.255,7.923,9.23,critica,acido,estresse,synthetic_agronomic_soy
1,1,0,5.58,75.1,25.9,0,2,144.44,2.226,0.458,46.42,excesso,acido,ideal,synthetic_agronomic_soy
1,1,0,6.11,24.5,39.9,1,2,243.54,0.0,8.466,35.31,critica,ideal,estresse,synthetic_agronomic_soy
1,1,0,6.87,21.9,16.9,1,2,116.24,0.122,5.2,27.31,critica,alcalino,baixa,synthetic_agronomic_soy
1,1,0,5.87,29.1,17.5,1,2,102.76,0.045,3.776,54.23,critica,acido,baixa,synthetic_agronomic_soy
0,0,0,5.0,29.0,29.9,1,0,149.46,0.0,5.91,134.16,critica,acido,ideal,synthetic_agronomic_soy
0,0,0,6.01,80.8,20.1,0,0,120.75,1.237,0.0,98.91,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,1,5.58,46.9,17.5,1,2,97.95,0.64,2.063,46.66,baixa,acido,baixa,synthetic_agronomic_soy
0,0,1,5.77,94.2,14.8,0,1,85.7,0.26,0.429,75.23,excesso,acido,baixa,synthetic_agronomic_soy
0,0,0,5.29,26.0,14.3,0,0,75.57,0.651,5.34,115.73,critica,acido,baixa,synthetic_agronomic_soy
1,1,0,6.78,67.3,34.6,0,2,234.43,2.53,2.391,40.24,adequada,ideal,estresse,synthetic_agronomic_soy
0,1,0,6.38,50.9,20.5,0,1,130.56,2.337,1.901,48.18,baixa,ideal,ideal,synthetic_agronomic_soy
1,1,1,5.61,46.4,41.4,0,3,232.1,0.384,7.536,10.98,baixa,acido,estresse,synthetic_agronomic_soy
1,1,1,6.46,85.0,17.5,0,3,113.04,1.259,0.0,0.0,excesso,ideal,baixa,synthetic_agronomic_soy
0,0,0,6.28,93.0,22.6,0,0,142.1,0.902,0.0,95.69,excesso,ideal,ideal,synthetic_agronomic_soy
0,0,1,7.19,84.8,23.2,0,1,167.1,1.342,0.0,74.13,excesso,alcalino,ideal,synthetic_agronomic_soy
1,1,0,7.67,30.4,27.0,0,2,207.07,0.43,5.3,62.64,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,0,5.19,32.7,38.1,1,2,197.91,0.101,7.221,49.09,critica,acido,estresse,synthetic_agronomic_soy
0,0,1,7.45,67.5,37.0,0,1,276.04,0.3,2.195,87.68,adequada,alcalino,estresse,synthetic_agronomic_soy
0,1,1,6.91,38.1,12.3,0,2,85.04,0.0,2.965,50.05,critica,alcalino,baixa,synthetic_agronomic_soy
1,1,1,6.88,73.8,24.3,0,3,166.97,4.11,0.0,13.01,adequada,alcalino,ideal,synthetic_agronomic_soy
0,1,0,5.92,60.3,36.8,1,1,218.19,0.986,3.761,59.95,adequada,acido,estresse,synthetic_agronomic_soy
1,0,1,5.83,59.1,12.0,0,2,70.02,0.527,1.515,42.99,adequada,acido,baixa,synthetic_agronomic_soy
1,0,0,4.82,81.3,28.0,0,1,134.92,0.684,0.203,101.17,excesso,acido,ideal,synthetic_agronomic_soy
0,0,0,7.75,71.8,19.8,0,0,153.26,0.368,0.178,135.92,adequada,alcalino,ideal,synthetic_agronomic_soy
1,0,1,6.62,17.1,24.4,1,2,161.4,0.428,4.705,33.21,critica,ideal,ideal,synthetic_agronomic_soy
0,1,1,6.01,19.0,24.6,1,2,147.83,0.23,4.749,31.02,critica,ideal,ideal,synthetic_agronomic_soy
1,1,1,6.43,63.1,23.8,0,3,152.76,5.183,1.177,0.01,adequada,ideal,ideal,synthetic_agronomic_soy
0,0,1,4.92,53.9,38.8,0,1,190.75,0.172,5.594,96.87,baixa,acido,estresse,synthetic_agronomic_soy
1,0,1,5.32,35.8,28.1,0,2,149.49,0.304,5.236,45.25,critica,acido,ideal,synthetic_agronomic_soy
0,1,1,6.67,48.5,39.1,1,2,260.88,0.485,5.574,34.15,baixa,ideal,estresse,synthetic_agronomic_soy
0,1,0,6.34,75.6,33.8,0,1,214.4,1.786,1.8,57.74,excesso,ideal,estresse,synthetic_agronomic_soy
1,0,0,7.16,81.1,22.5,0,1,161.37,1.126,0.078,80.74,excesso,alcalino,ideal,synthetic_agronomic_soy
0,1,0,6.78,59.9,26.8,0,1,181.65,4.15,1.646,72.37,adequada,ideal,ideal,synthetic_agronomic_soy
1,1,0,6.6,45.8,23.7,1,2,156.49,1.976,1.949,31.91,baixa,ideal,ideal,synthetic_agronomic_soy
1,1,0,7.25,36.7,36.9,1,2,267.06,0.0,5.586,42.48,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,0,5.0,56.8,17.6,0,1,88.22,0.136,1.858,93.67,adequada,acido,baixa,synthetic_agronomic_soy
0,0,1,6.87,40.2,40.1,0,1,275.54,0.048,9.056,70.09,baixa,alcalino,estresse,synthetic_agronomic_soy
0,0,0,6.95,60.1,29.4,0,0,204.32,2.362,2.368,108.67,adequada,alcalino,ideal,synthetic_agronomic_soy
0,1,0,5.63,69.1,30.4,1,1,170.75,2.133,1.045,79.26,adequada,acido,ideal,synthetic_agronomic_soy
1,1,0,5.39,20.3,27.5,1,2,148.16,0.048,4.924,53.68,critica,acido,ideal,synthetic_agronomic_soy
1,1,1,5.44,15.1,28.6,1,3,155.82,0.0,5.943,19.9,critica,acido,ideal,synthetic_agronomic_soy
1,1,0,5.39,32.0,32.0,1,2,172.78,0.193,4.86,54.1,critica,acido,ideal,synthetic_agronomic_soy
1,1,1,6.37,86.6,31.7,0,3,201.66,2.253,1.097,10.18,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,1,5.21,66.7,18.4,0,2,95.93,0.773,0.789,58.6,adequada,acido,ideal,synthetic_agronomic_soy
1,0,1,6.78,28.8,29.5,0,2,199.77,1.025,6.398,36.51,critica,ideal,ideal,synthetic_agronomic_soy
1,0,1,5.12,86.2,22.6,0,2,115.8,0.535,0.0,61.6,excesso,acido,ideal,synthetic_agronomic_soy
1,1,1,4.88,52.6,31.1,0,3,151.84,0.582,4.001,30.04,baixa,acido,ideal,synthetic_agronomic_soy
1,0,1,5.76,53.1,28.4,0,2,163.73,2.103,3.422,36.89,baixa,acido,ideal,synthetic_agronomic_soy
0,0,1,5.38,89.8,17.4,0,1,93.48,0.338,0.0,78.03,excesso,acido,baixa,synthetic_agronomic_soy
1,1,0,7.77,19.8,34.0,0,2,264.37,0.0,9.737,59.88,critica,alcalino,estresse,synthetic_agronomic_soy
0,0,0,5.71,32.2,25.7,0,0,146.78,0.549,4.501,113.4,critica,acido,ideal,synthetic_agronomic_soy
0,1,0,5.47,61.9,28.5,0,1,156.02,2.081,1.408,89.85,adequada,acido,ideal,synthetic_agronomic_soy
1,0,0,5.39,30.6,32.2,1,1,173.46,0.409,5.418,80.71,critica,acido,estresse,synthetic_agronomic_soy
0,1,0,5.92,69.4,31.6,0,1,187.04,2.596,0.504,69.56,adequada,acido,ideal,synthetic_agronomic_soy
0,1,1,6.62,32.1,34.5,0,2,228.09,0.544,7.895,34.31,critica,ideal,estresse,synthetic_agronomic_soy
1,0,1,7.15,22.9,18.2,1,2,130.07,0.261,4.25,43.77,critica,alcalino,ideal,synthetic_agronomic_soy
0,0,1,5.89,31.6,15.3,1,1,90.24,0.0,3.042,77.73,critica,acido,baixa,synthetic_agronomic_soy
1,1,1,6.68,48.8,32.1,1,3,214.2,2.955,3.231,9.92,baixa,ideal,estresse,synthetic_agronomic_soy
1,0,0,6.25,29.1,19.1,0,1,119.17,0.408,4.917,62.42,critica,ideal,ideal,synthetic_agronomic_soy
0,0,1,7.34,25.8,15.4,1,1,113.31,0.016,4.028,84.53,critica,alcalino,baixa,synthetic_agronomic_soy
0,0,0,6.51,83.8,15.9,0,0,103.7,0.92,0.0,79.83,excesso,ideal,baixa,synthetic_agronomic_soy
0,0,1,5.67,40.6,21.4,1,1,121.24,0.933,2.923,84.69,baixa,acido,ideal,synthetic_agronomic_soy
0,1,1,6.91,43.9,41.8,0,2,288.55,0.0,8.632,44.18,baixa,alcalino,estresse,synthetic_agronomic_soy
0,1,1,7.26,19.4,16.7,1,2,121.37,0.288,4.255,52.41,critica,alcalino,baixa,synthetic_agronomic_soy
1,1,1,6.2,43.6,21.0,1,3,129.85,1.742,3.048,0.79,baixa,ideal,ideal,synthetic_agronomic_soy
1,0,0,7.76,36.2,39.6,0,1,307.53,0.248,9.344,93.59,critica,alcalino,estresse,synthetic_agronomic_soy
1,0,0,7.44,63.8,40.9,1,1,304.18,0.3,3.193,89.59,adequada,alcalino,estresse,synthetic_agronomic_soy
1,0,1,5.39,31.4,18.9,1,2,101.7,0.0,3.744,59.75,critica,acido,ideal,synthetic_agronomic_soy
0,1,0,7.16,86.1,38.4,0,1,275.05,0.508,2.001,87.43,excesso,alcalino,estresse,synthetic_agronomic_soy
1,0,1,6.6,89.4,16.2,0,2,106.75,0.504,0.0,29.6,excesso,ideal,baixa,synthetic_agronomic_soy
1,0,1,6.4,23.0,34.8,1,2,223.17,0.053,7.543,27.32,critica,ideal,estresse,synthetic_agronomic_soy
1,0,1,6.34,23.6,12.4,1,2,78.58,0.0,3.858,19.04,critica,ideal,baixa,synthetic_agronomic_soy
1,0,1,7.36,24.2,24.2,1,2,178.11,0.362,3.979,40.66,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,0,6.63,64.6,19.4,0,2,128.81,2.321,0.893,36.67,adequada,ideal,ideal,synthetic_agronomic_soy
1,1,0,6.41,24.8,33.1,0,2,212.4,0.547,8.852,24.07,critica,ideal,estresse,synthetic_agronomic_soy
1,1,1,4.95,83.2,12.5,0,3,61.74,0.0,0.008,22.11,excesso,acido,baixa,synthetic_agronomic_soy
1,1,0,6.14,75.3,25.9,0,2,159.44,3.886,0.195,28.82,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,0,7.52,80.6,32.9,0,2,247.56,1.052,1.352,58.94,excesso,alcalino,estresse,synthetic_agronomic_soy
0,0,1,6.94,57.1,13.4,0,1,92.94,0.649,1.891,73.98,adequada,alcalino,baixa,synthetic_agronomic_soy
1,1,1,4.95,94.7,38.9,0,3,192.78,0.114,3.342,23.65,excesso,acido,estresse,synthetic_agronomic_soy
1,1,1,7.45,18.5,22.8,1,3,170.17,0.021,4.749,29.33,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,1,7.28,47.1,17.0,0,3,123.45,0.553,3.261,15.88,baixa,alcalino,baixa,synthetic_agronomic_soy
0,0,1,6.44,40.9,18.8,1,1,120.84,0.553,2.443,58.58,baixa,ideal,ideal,synthetic_agronomic_soy
